time,current,latWgs84,lonWgs84
2025-12-15T15:50:24.128Z,89834517,,
2025-12-15T16:22:10.270Z,89803785,45.834292,16.301304
2025-12-15T16:23:31.686Z,89834577,,
2025-12-15T16:23:43.633Z,89855058,,
2025-12-15T16:23:46.088Z,89816659,,
2025-12-15T16:23:49.128Z,89825617,,
2025-12-15T16:23:58.921Z,89834577,,
2025-12-15T16:24:05.534Z,89803776,45.834292,16.301304
2025-12-15T16:24:15.249Z,89834517,,
2025-12-15T16:26:24.081Z,89803786,45.834292,16.301304
2025-12-15T16:31:28.499Z,89834518,,
2025-12-15T16:44:59.629Z,89803780,45.834292,16.301304
2025-12-15T16:45:58.573Z,89834517,,
2025-12-15T16:47:25.282Z,89825617,,
2025-12-15T16:47:30.711Z,89816659,,
2025-12-15T16:49:01.212Z,89834577,,
2025-12-15T16:49:46.896Z,89803785,45.834292,16.301304
2025-12-15T16:52:38.457Z,89803785,45.834292,16.301304
2025-12-15T16:53:24.529Z,89803785,45.834292,16.301304
2025-12-15T17:18:04.412Z,89803785,45.834292,16.301304
2025-12-15T17:30:24.660Z,89803785,45.834292,16.301304
2025-12-15T18:20:25.590Z,89803785,45.834292,16.301304
2025-12-15T19:08:04.715Z,89803785,45.834292,16.301304
2025-12-15T19:10:25.989Z,89803785,45.834292,16.301304
2025-12-15T20:00:26.179Z,89834517,,
2025-12-15T20:50:26.499Z,89834517,,
2025-12-15T20:58:05.010Z,89834517,,
2025-12-15T21:40:26.800Z,89834517,,
2025-12-15T22:30:27.099Z,89834517,,
2025-12-15T22:48:05.367Z,89834517,,
2025-12-15T23:20:27.469Z,89834517,,
2025-12-16T00:10:27.889Z,89834517,,
2025-12-16T00:38:05.690Z,89834517,,
2025-12-16T01:00:28.079Z,89834517,,
2025-12-16T01:50:28.909Z,89834517,,
2025-12-16T02:28:05.885Z,89834517,,
2025-12-16T02:40:29.316Z,89834517,,
2025-12-16T03:30:29.676Z,89834517,,
2025-12-16T04:18:06.336Z,89834517,,
2025-12-16T04:20:30.329Z,89834517,,
2025-12-16T05:10:30.500Z,89834517,,
2025-12-16T06:00:30.869Z,89834517,,
2025-12-16T06:08:06.629Z,89834517,,
2025-12-16T06:50:31.348Z,89803785,45.834292,16.301304
2025-12-16T07:40:31.928Z,89803785,45.834292,16.301304
2025-12-16T07:58:06.988Z,89803785,45.834292,16.301304
2025-12-16T08:30:32.318Z,89803785,45.834292,16.301304
2025-12-16T09:20:32.708Z,89803785,45.834292,16.301304
2025-12-16T09:48:07.345Z,89803785,45.834292,16.301304
2025-12-16T10:10:33.118Z,89803785,45.834292,16.301304
2025-12-16T10:46:20.208Z,89803785,45.834292,16.301304
2025-12-16T11:00:33.463Z,89803785,45.834292,16.301304
2025-12-16T11:11:11.207Z,89803782,45.834292,16.301304
2025-12-16T11:10:45.928Z,89803785,45.834292,16.301304
2025-12-16T11:38:08.209Z,89834517,,
2025-12-16T11:50:29.158Z,89803785,45.834292,16.301304
2025-12-16T11:50:29.448Z,89803785,45.834292,16.301304
2025-12-16T12:40:33.960Z,89803785,45.834292,16.301304
2025-12-16T13:28:08.521Z,89803785,45.834292,16.301304
2025-12-16T13:30:34.421Z,89803785,45.834292,16.301304
2025-12-16T14:20:35.437Z,89803785,45.834292,16.301304
2025-12-16T15:10:35.816Z,89803785,45.834292,16.301304
2025-12-16T15:18:09.610Z,89803785,45.834292,16.301304
2025-12-16T16:00:37.789Z,89803785,45.834292,16.301304
2025-12-16T16:00:36.182Z,89834517,,
2025-12-16T16:02:07.150Z,89803785,45.834292,16.301304
2025-12-16T16:02:44.189Z,89834517,,
2025-12-16T16:03:27.674Z,89803776,45.834292,16.301304
2025-12-16T16:04:06.888Z,89834577,,
2025-12-16T16:04:10.117Z,89803782,45.834292,16.301304
2025-12-16T16:06:48.359Z,89834577,,
2025-12-16T16:07:02.445Z,89803786,45.834292,16.301304
2025-12-16T16:07:44.459Z,89834518,,
2025-12-16T16:10:38.047Z,89824849,,
2025-12-16T16:11:08.679Z,89804288,45.807495,16.254181
2025-12-16T16:12:31.867Z,89804288,45.807495,16.254181
2025-12-16T16:13:06.750Z,89804288,45.807495,16.254181
2025-12-16T16:13:24.520Z,89804288,45.807495,16.254181
2025-12-16T16:14:01.846Z,89804288,45.807495,16.254181
2025-12-16T16:14:33.849Z,89804288,45.807495,16.254181
2025-12-16T16:16:22.784Z,89730314,45.805059,16.23542
2025-12-16T16:17:17.356Z,89730313,45.805059,16.23542
2025-12-16T16:18:05.809Z,89730315,45.805059,16.23542
2025-12-16T16:19:21.351Z,89816329,,
2025-12-16T16:21:12.437Z,89730309,45.805059,16.23542
2025-12-16T16:23:23.188Z,89730309,45.805059,16.23542
2025-12-16T16:23:23.919Z,89730309,45.805059,16.23542
2025-12-16T16:23:40.208Z,89730309,45.805059,16.23542
2025-12-16T16:24:47.309Z,89730309,45.805059,16.23542
2025-12-16T16:24:48.054Z,89730309,45.805059,16.23542
2025-12-16T16:30:30.717Z,89730309,45.805059,16.23542
2025-12-16T16:30:34.927Z,89730309,45.805059,16.23542
2025-12-16T16:32:20.410Z,89730309,45.805059,16.23542
2025-12-16T16:32:24.477Z,89730309,45.805059,16.23542
2025-12-16T16:33:50.238Z,89730309,45.805059,16.23542
2025-12-16T16:35:55.895Z,89730309,45.805059,16.23542
2025-12-16T16:36:00.314Z,89730309,45.805059,16.23542
2025-12-16T16:36:46.547Z,89730309,45.805059,16.23542
2025-12-16T16:39:52.211Z,89730309,45.805059,16.23542
2025-12-16T16:40:12.667Z,89730309,45.805059,16.23542
2025-12-16T16:41:56.119Z,89730309,45.805059,16.23542
2025-12-16T16:42:32.656Z,89730309,45.805059,16.23542
2025-12-16T16:43:13.584Z,89730309,45.805059,16.23542
2025-12-16T16:43:36.991Z,89816323,,
2025-12-16T16:43:19.157Z,89730309,45.805059,16.23542
2025-12-16T16:43:52.021Z,89816323,,
2025-12-16T16:44:08.588Z,89730309,45.805059,16.23542
2025-12-16T16:44:07.092Z,89816323,,
2025-12-16T16:45:06.177Z,89730309,45.805059,16.23542
2025-12-16T16:45:42.640Z,89730309,45.805059,16.23542
2025-12-16T16:50:51.278Z,89730309,45.805059,16.23542
2025-12-16T16:50:52.206Z,89730309,45.805059,16.23542
2025-12-16T16:52:17.210Z,89730309,45.805059,16.23542
2025-12-16T16:52:28.836Z,89730309,45.805059,16.23542
2025-12-16T16:52:43.456Z,89730309,45.805059,16.23542
2025-12-16T16:53:36.776Z,89730309,45.805059,16.23542
2025-12-16T16:54:07.497Z,89730309,45.805059,16.23542
2025-12-16T16:54:23.137Z,89730309,45.805059,16.23542
2025-12-16T16:55:39.694Z,89730309,45.805059,16.23542
2025-12-16T16:55:52.596Z,89730309,45.805059,16.23542
2025-12-16T16:56:34.114Z,89730309,45.805059,16.23542
2025-12-16T16:56:36.643Z,89730309,45.805059,16.23542
2025-12-16T16:57:14.927Z,89730309,45.805059,16.23542
2025-12-16T16:58:41.250Z,89816323,,
2025-12-16T16:58:56.154Z,89730309,45.805059,16.23542
2025-12-16T16:59:28.888Z,89730309,45.805059,16.23542
2025-12-16T16:59:37.007Z,89730309,45.805059,16.23542
2025-12-16T17:01:31.713Z,89730309,45.805059,16.23542
2025-12-16T17:01:40.617Z,89730309,45.805059,16.23542
2025-12-16T17:02:19.496Z,89730309,45.805059,16.23542
2025-12-16T17:02:20.196Z,89730309,45.805059,16.23542
2025-12-16T17:03:03.198Z,89730309,45.805059,16.23542
2025-12-16T17:03:13.506Z,89730309,45.805059,16.23542
2025-12-16T17:05:14.385Z,89730309,45.805059,16.23542
2025-12-16T17:05:20.027Z,89730309,45.805059,16.23542
2025-12-16T17:06:11.907Z,89730309,45.805059,16.23542
2025-12-16T17:06:24.847Z,89730309,45.805059,16.23542
2025-12-16T17:08:35.943Z,89730309,45.805059,16.23542
2025-12-16T17:08:32.121Z,89816323,,
2025-12-16T17:09:30.286Z,89730309,45.805059,16.23542
2025-12-16T17:10:28.659Z,89816323,,
2025-12-16T17:10:27.923Z,89730309,45.805059,16.23542
2025-12-16T17:10:41.881Z,89816323,,
2025-12-16T17:12:58.709Z,89816323,,
2025-12-16T17:12:51.926Z,89730309,45.805059,16.23542
2025-12-16T17:13:19.399Z,89816323,,
2025-12-16T17:13:12.769Z,89816323,,
2025-12-16T17:13:13.586Z,89730309,45.805059,16.23542
2025-12-16T17:13:15.765Z,89816323,,
2025-12-16T17:13:17.123Z,89730309,45.805059,16.23542
2025-12-16T17:13:42.150Z,89816323,,
2025-12-16T17:13:57.807Z,89816323,,
2025-12-16T17:14:52.851Z,89816323,,
2025-12-16T17:15:44.956Z,89730309,45.805059,16.23542
2025-12-16T17:16:50.613Z,89730309,45.805059,16.23542
2025-12-16T17:17:23.946Z,89730309,45.805059,16.23542
2025-12-16T17:18:56.666Z,89730309,45.805059,16.23542
2025-12-16T17:20:45.077Z,89730309,45.805059,16.23542
2025-12-16T17:21:17.517Z,89730309,45.805059,16.23542
2025-12-16T17:23:08.997Z,89730309,45.805059,16.23542
2025-12-16T17:24:44.035Z,89730306,45.805059,16.23542
2025-12-16T17:26:52.206Z,89730306,45.805059,16.23542
2025-12-16T17:28:05.805Z,89730306,45.805059,16.23542
2025-12-16T17:32:07.585Z,89730306,45.805059,16.23542
2025-12-16T17:33:00.016Z,89730306,45.805059,16.23542
2025-12-16T17:34:09.195Z,89730306,45.805059,16.23542
2025-12-16T17:35:15.243Z,89730306,45.805059,16.23542
2025-12-16T17:35:45.015Z,89730306,45.805059,16.23542
2025-12-16T17:38:58.225Z,89730306,45.805059,16.23542
2025-12-16T17:39:56.235Z,89730306,45.805059,16.23542
2025-12-16T17:40:36.355Z,89730306,45.805059,16.23542
2025-12-16T17:41:10.826Z,89730304,45.805059,16.23542
2025-12-16T17:41:25.182Z,89730305,45.805059,16.23542
2025-12-16T17:42:01.898Z,89804290,45.807495,16.254181
2025-12-16T17:42:11.482Z,89804290,45.807495,16.254181
2025-12-16T17:41:53.412Z,89730305,45.805059,16.23542
2025-12-16T17:43:08.740Z,89804299,45.807495,16.254181
2025-12-16T17:44:58.925Z,89804297,45.807495,16.254181
2025-12-16T17:46:00.036Z,89804297,45.807495,16.254181
2025-12-16T17:46:51.062Z,89803787,45.834292,16.301304
2025-12-16T17:48:04.882Z,89803781,45.834292,16.301304
2025-12-16T17:48:01.966Z,89834519,,
2025-12-16T17:49:22.265Z,89803783,45.834292,16.301304
2025-12-16T17:50:53.056Z,89834519,,
2025-12-16T17:52:50.133Z,89834518,,
2025-12-16T17:53:15.033Z,89834518,,
2025-12-16T17:53:41.150Z,89834518,,
2025-12-16T17:54:32.343Z,89834518,,
2025-12-16T17:55:16.011Z,10711,,
2025-12-16T17:55:21.692Z,10711,,
2025-12-16T17:55:29.751Z,89803783,45.834292,16.301304
2025-12-16T17:55:59.603Z,10711,,
2025-12-16T17:56:09.646Z,89803783,45.834292,16.301304
2025-12-16T17:56:25.619Z,89803783,45.834292,16.301304
2025-12-16T17:56:45.220Z,89803783,45.834292,16.301304
2025-12-16T17:57:53.363Z,89803783,45.834292,16.301304
2025-12-16T17:58:06.145Z,89803783,45.834292,16.301304
2025-12-16T17:58:19.093Z,89803783,45.834292,16.301304
2025-12-16T17:59:48.124Z,89803786,45.834292,16.301304
2025-12-16T18:00:33.076Z,89803786,45.834292,16.301304
2025-12-16T18:00:51.466Z,89803786,45.834292,16.301304
2025-12-16T18:01:41.806Z,89803786,45.834292,16.301304
2025-12-16T18:03:58.234Z,89834518,,
2025-12-16T18:04:32.693Z,89834518,,
2025-12-16T18:06:55.170Z,89834517,,
2025-12-16T18:07:43.107Z,89834517,,
2025-12-16T18:08:01.330Z,89834517,,
2025-12-16T18:08:16.170Z,89834517,,
2025-12-16T18:11:04.084Z,89803782,45.834292,16.301304
2025-12-16T18:13:16.226Z,89803776,45.834292,16.301304
2025-12-16T18:14:22.128Z,89803785,45.834292,16.301304
